    1  CENTRAL ALASKA
    2  SOUTHERN ALASKA 
    3  BERING SEA
    4  KOMANDORSKY ISLANDS REGION
    5  NEAR ISLANDS, ALEUTIAN ISLANDS
    6  RAT ISLANDS, ALEUTIAN ISLANDS 
    7  ANDREANOF ISLANDS, ALEUTIAN IS. 
    8  PRIBILOF ISLANDS
    9  FOX ISLANDS, ALEUTIAN ISLANDS 
   10  UNIMAK ISLAND REGION
   11  BRISTOL BAY 
   12  ALASKA PENINSULA
   13  KODIAK ISLAND REGION
   14  KENAI PENINSULA, ALASKA 
   15  GULF OF ALASKA
   16  ALEUTIAN ISLANDS REGION 
   17  SOUTH OF ALASKA 
   18  SOUTHERN YUKON TERRITORY, CANADA
   19  SOUTHEASTERN ALASKA 
   20  OFF COAST OF SOUTHEASTERN ALASKA
   21  WEST OF VANCOUVER ISLAND
   22  QUEEN CHARLOTTE ISLANDS REGION
   23  BRITISH COLUMBIA
   24  ALBERTA PROVINCE, CANADA
   25  VANCOUVER ISLAND REGION 
   26  OFF COAST OF WASHINGTON 
   27  NEAR COAST OF WASHINGTON
   28  WASHINGTON-OREGON BORDER REGION 
   29  WASHINGTON
   30  OFF COAST OF OREGON 
   31  NEAR COAST OF OREGON
   32  OREGON
   33  WESTERN IDAHO 
   34  OFF COAST OF NORTHERN CALIFORNIA
   35  NEAR COAST OF NORTHERN CALIF. 
   36  NORTHERN CALIFORNIA 
   37  NEVADA
   38  OFF COAST OF CALIFORNIA 
   39  CENTRAL CALIFORNIA
   40  CALIFORNIA-NEVADA BORDER REGION 
   41  SOUTHERN NEVADA 
   42  WESTERN ARIZONA 
   43  SOUTHERN CALIFORNIA 
   44  CALIFORNIA-ARIZONA BORDER REGION
   45  CALIFORNIA-MEXICO BORDER REGION 
   46  W. ARIZ. - MEXICO BORDER REGION 
   47  OFF W. COAST OF BAJA CALIFORNIA 
   48  BAJA CALIFORNIA 
   49  GULF OF CALIFORNIA
   50  NORTHWESTERN MEXICO 
   51  OFF COAST OF CENTRAL MEXICO 
   52  NEAR COAST OF CENTRAL MEXICO
   53  REVILLA GIGEDO ISLANDS REGION 
   54  OFF COAST OF JALISCO, MEXICO
   55  NEAR COAST OF JALISCO, MEXICO 
   56  NEAR COAST OF MICHOACAN, MEXICO 
   57  MICHOACAN, MEXICO 
   58  NEAR COAST OF GUERRERO, MEXICO
   59  GUERRERO, MEXICO
   60  OAXACA, MEXICO
   61  CHIAPAS, MEXICO 
   62  MEXICO-GUATEMALA BORDER REGION
   63  OFF COAST OF MEXICO 
   64  OFF COAST OF MICHOACAN, MEXICO
   65  OFF COAST OF GUERRERO, MEXICO 
   66  NEAR COAST OF OAXACA, MEXICO
   67  OFF COAST OF OAXACA, MEXICO 
   68  OFF COAST OF CHIAPAS, MEXICO
   69  NEAR COAST OF CHIAPAS, MEXICO 
   70  GUATEMALA 
   71  NEAR COAST OF GUATEMALA 
   72  HONDURAS
   73  EL SALVADOR 
   74  NEAR COAST OF NICARAGUA 
   75  NICARAGUA 
   76  OFF COAST OF CENTRAL AMERICA
